ticker,sector,event_window,trading_days,window_low,window_high,price_range,volatility_pct
DXCM,diabetes_devices,mounjaro_approval,41,70.16,124.7,54.54,77.74
ISRG,surgical,mounjaro_approval,41,205.27,302.9,97.63,47.56
PODD,diabetes_devices,mounjaro_approval,41,186.4,273.21,86.81,46.57
PLNT,fitness,mounjaro_approval,41,63.46,86.83,23.37,36.83
KHC,food_beverage,mounjaro_approval,41,29.58,35.73,6.15,20.79
NSRGY,food_beverage,mounjaro_approval,41,97.49,116.13,18.64,19.12
LLY,glp1_makers,mounjaro_approval,41,268.73,312.92,44.19,16.45
YUM,fast_food,mounjaro_approval,41,100.39,115.87,15.49,15.43
NVO,glp1_makers,mounjaro_approval,41,47.07,54.2,7.13,15.15
MCD,fast_food,mounjaro_approval,41,207.56,231.89,24.34,11.72
PEP,food_beverage,mounjaro_approval,41,140.39,154.59,14.2,10.11
DXCM,diabetes_devices,wegovy_approval,42,80.99,107.93,26.94,33.26
PODD,diabetes_devices,wegovy_approval,42,225.52,284.79,59.27,26.28
LLY,glp1_makers,wegovy_approval,42,183.12,223.18,40.06,21.88
ISRG,surgical,wegovy_approval,42,270.6,312.72,42.12,15.57
NVO,glp1_makers,wegovy_approval,42,33.27,38.09,4.82,14.5
PLNT,fitness,wegovy_approval,42,73.02,81.39,8.37,11.46
KHC,food_beverage,wegovy_approval,42,31.33,34.44,3.1,9.91
NSRGY,food_beverage,wegovy_approval,42,102.2,109.59,7.38,7.23
YUM,fast_food,wegovy_approval,42,104.38,110.55,6.17,5.91
MCD,fast_food,wegovy_approval,42,202.09,211.26,9.18,4.54
PEP,food_beverage,wegovy_approval,42,121.93,127.1,5.18,4.24
DXCM,diabetes_devices,zepbound_approval,43,75.49,118.89,43.4,57.49
PODD,diabetes_devices,zepbound_approval,43,127.77,194.54,66.77,52.26
PLNT,fitness,zepbound_approval,43,47.97,69.66,21.69,45.22
ISRG,surgical,zepbound_approval,43,258.49,318.01,59.52,23.03
KHC,food_beverage,zepbound_approval,43,26.49,31.74,5.25,19.83
MCD,fast_food,zepbound_approval,43,230.63,270.34,39.71,17.22
NVO,glp1_makers,zepbound_approval,43,85.48,97.92,12.43,14.54
LLY,glp1_makers,zepbound_approval,43,543.41,607.37,63.96,11.77
YUM,fast_food,zepbound_approval,43,110.24,122.27,12.03,10.92
NSRGY,food_beverage,zepbound_approval,43,96.44,104.81,8.37,8.68
PEP,food_beverage,zepbound_approval,43,143.37,154.57,11.2,7.81
